가소롭,-0.71,0.1,혐오,가소롭
각박,-0.57,-0.17,슬픔,각박
간절,-0.6,-0.13,슬픔,간절
감격,0.62,0.81,기쁨,감격
감동,0.55,0.47,기쁨,감동
감미,0.51,0.33,기쁨,감미
감사,0.56,0.11,기쁨,감사
감질,0.34,0.09,흥미,감질
개새끼,-0.78,0.55,분노,개새끼
걱정,-0.56,-0.1,슬픔,걱정
겁,-0.46,0.53,공포,겁
고독,-0.65,-0.3,슬픔,고독
고통,-0.34,0.33,통증,고통
골치,-0.43,0.16,통증,골치
괴롭,-0.63,-0.1,슬픔,괴롭
구질,-0.77,0.24,혐오,구질
굴욕,-0.67,0.33,분노,굴욕
귀찮,-0.23,-0.63,지루함,귀찮
그놈,-0.61,0.36,분노,그놈
그립,-0.56,-0.31,슬픔,그립
그자식,-0.53,0.39,분노,그자식
기겁,-0.09,0.61,놀람,기겁
기막,-0.06,0.54,놀람,기막
기분좋,0.65,0.5,기쁨,기분좋
기쁘,0.58,0.67,기쁨,기쁘
기운없,-0.51,-0.43,슬픔,기운없
기절,0.03,0.56,놀람,기절
긴장,-0.43,0.45,공포,긴장
깜짝,0.02,0.67,놀람,깜짝
꼴불견,-0.79,0.26,혐오,꼴불견
낙심,-0.49,-0.27,슬픔,낙심
놀라,0.01,0.54,놀람,놀라
눈물겹,-0.58,-0.2,슬픔,눈물겹
느글,-0.67,0.2,혐오,느글
느끼,-0.66,0.12,혐오,느끼
답답,-0.28,-0.4,지루함,답답
당황,-0.02,0.47,놀람,당황
대견,0.54,0.51,기쁨,대견
덤덤,-0.03,0,중성,덤덤
두렵,-0.56,0.67,공포,두렵
따분,-0.32,-0.8,지루함,따분
뜨금,-0.07,0.55,놀람,뜨금
망연자실,-0.6,-0.44,슬픔,망연자실
망측,-0.77,0.09,혐오,망측
머쓱,-0.02,0.36,기타,머쓱
먹먹,-0.66,-0.37,슬픔,먹먹
모욕,-0.74,0.37,분노,모욕
무료하다,-0.17,-0.45,지루함,무료하다
무시,-0.65,0.34,분노,무시
무시무시,-0.48,0.59,공포,무시무시
보기좋,0.49,0.34,기쁨,보기좋
부끄,-0.41,-0.04,슬픔,부끄
부담스럽,-0.62,0.08,혐오,부담스럽
불만스럽,-0.59,0.34,분노,불만스럽
불만족,-0.67,0.39,분노,불만족
불쌍,-0.55,-0.17,슬픔,불쌍
불안,-0.51,0.63,공포,불안
불행,-0.56,-0.28,슬픔,불행
비아냥,-0.59,0.3,분노,비아냥
뼈저리,-0.81,-0.24,슬픔,뼈저리
뿌듯,0.51,0.43,기쁨,뿌듯
삐치,-0.59,0.22,분노,삐치
사랑,0.63,0.39,기쁨,사랑
살벌,-0.7,0.73,공포,살벌
상쾌,0.5,0.47,기쁨,상쾌
상큼,0.55,0.33,기쁨,상큼
서럽,-0.71,-0.07,슬픔,서럽
서먹,-0.21,-0.28,지루함,서먹
서운,-0.48,-0.3,슬픔,서운
설레,0.65,0.4,기쁨,설레
섬뜩,-0.57,0.73,공포,섬뜩
섭섭,-0.44,-0.29,슬픔,섭섭
섹시,0.43,0.3,흥미,섹시
소름,-0.69,0.76,공포,소름
속시원,0.54,0.5,기쁨,속시원
속썩,-0.67,0.45,분노,속썩
신경질,-0.79,0.38,분노,신경질
심각,-0.74,-0.09,슬픔,심각
심란,-0.5,-0.23,슬픔,심란
심심,-0.15,-0.39,지루함,심심
싸가지,-0.76,0.47,분노,싸가지
씁쓸,-0.61,-0.25,슬픔,씁쓸
씨부랄,-0.79,0.6,분노,씨부랄
씹새끼,-0.8,0.6,분노,씹새끼
아깝,-0.29,-0.08,슬픔,아깝
아련,-0.64,-0.2,슬픔,아련
아쉽,-0.35,-0.15,슬픔,아쉽
아슬아슬,-0.43,0.85,공포,아슬아슬
아으,-0.61,0.55,분노,아으
아이고,-0.46,-0.14,슬픔,아이고
아이씨,-0.74,0.46,분노,아이씨
아이쿠,0,0.53,놀람,아이쿠
아차,0.01,0.43,놀람,아차
아휴,-0.63,-0.44,슬픔,아휴
안쓰럽,-0.6,-0.16,슬픔,안쓰럽
안타깝,-0.58,-0.15,슬픔,안타깝
암담,-0.59,-0.39,슬픔,암담
암울,-0.63,-0.44,슬픔,암울
앗,0.02,0.65,놀람,앗
애잔,-0.54,-0.24,슬픔,애잔
애틋,-0.55,-0.13,슬픔,애틋
야박,-0.63,0.45,분노,야박
야속,-0.66,-0.23,슬픔,야속
약오르,-0.71,0.41,분노,약오르
얄밉,-0.71,0.39,분노,얄밉
어리둥절,0,0.45,놀람,어리둥절
어색,-0.18,-0.18,지루함,어색
어이없,-0.7,0.2,분노,어이없
언짢,-0.69,0.26,분노,언짢
예쁘,0.64,0.48,기쁨,예쁘
외롭,-0.62,-0.33,슬픔,외롭
우아,0.58,0.42,기쁨,우아
웃,-0.6,-0.53,슬픔,웃
울다,-0.68,-0.25,슬픔,울다
울먹,-0.58,-0.21,슬픔,울먹
울적,-0.5,-0.39,슬픔,울적
울컥,-0.64,-0.36,슬픔,울컥
움찔,-0.03,0.48,놀람,움찔
웃,30,30,기쁨,웃
웬수,-0.66,0.4,분노,웬수
원망,-0.63,0.28,분노,원망
유감스럽,-0.55,-0.26,슬픔,유감스럽
유쾌,0.68,0.48,기쁨,유쾌
으악,-0.02,0.75,놀람,으악
으이구,-0.5,0.14,분노,으이구
윽,-0.09,0.34,통증 놀람,윽
의심스럽,-0.58,0.13,분노,의심스럽
이상,-0.18,0.48,놀람,이상
이새끼,-0.75,0.48,분노,이새끼
재미없,-0.2,-0.5,지루함,재미없
재미있,0.47,0.43,기쁨,재미있
저놈,-0.64,0.4,분노,저놈
절망,-0.6,-0.38,슬픔,절망
절실,-0.71,-0.22,슬픔,절실
조마조마,-0.52,0.71,공포,조마조마
좋드,0.49,0.36,기쁨,좋드
죄송,-0.63,-0.22,슬픔,죄송
죄책감,-0.62,-0.3,슬픔,죄책감
주눅,-0.52,-0.35,슬픔,주눅
즐겁,0.67,0.4,기쁨,즐겁
지겹,-0.26,-0.62,지루함,지겹
지긋지긋,-0.37,-0.74,지루함,지긋지긋
지랄,-0.78,0.46,분노,지랄
지루,-0.324,-0.464,지루함,지루
질투,-0.67,0.51,분노,질투
짜증,-0.72,0.16,분노,짜증
짠,-0.64,-0.195,슬픔,짠
창피,-0.48,0.03,슬픔,창피
처량,-0.7,-0.48,슬픔,처량
처참,-0.73,-0.6,슬픔,처참
천만다행,0.63,0.48,기쁨,천만다행
철렁,-0.14,0.69,놀람,철렁
초조,-0.6,0.6,공포,초조
충격,-0.18,0.76,놀람,충격
치사,-0.67,0.44,분노,치사
침울,-0.68,-0.43,슬픔,침울
쾌적,0.73,-0.14,기쁨,쾌적
탄식,-0.63,-0.01,슬픔,탄식
탐나,0.36,0.23,흥미,탐나
통쾌,0.68,0.53,기쁨,통쾌
편안,0.68,-0.62,기쁨,편안
하하,0.47,0.14,기쁨,하하
행복,0.68,0.2,기쁨,행복
허무,-0.48,-0.58,슬픔,허무
허전,-0.48,-0.44,슬픔,허전
허탈,-0.54,-0.58,슬픔,허탈
허허,0.41,-0.01,기쁨,허허
헉,0.01,0.56,놀람,헉
후련,0.71,-0.35,기쁨,후련
후회,-0.6,-0.25,슬픔,후회
훌륭,0.61,0.54,기쁨,훌륭
흉측,-0.9,0.145,혐오,흉측
흐뭇,0.64,0.21,기쁨,흐뭇
흐흐,0.51,0.34,기쁨,흐흐
흑흑,-0.46,-0.13,슬픔,흑흑
흠칫,0,0.4,놀람,흠칫
흥미,0.352,0.16,흥미,흥미
흥분,-0.63,0.56,분노,흥분
히히,0.54,0.44,기쁨,히히
가볍,0.15,0.02,기쁨 중성,가볍
감명깊,0.54,0.18,기쁨 흥미,감명깊
거슬,-0.66,0.19,혐오 분노,거슬
구차,-0.71,-0.095,혐오 슬픔,구차
난감,-0.25,0.41,놀람 기타,난감
낯뜨겁,-0.18,0.35,기타 놀람,낯뜨겁
매력적,0.44,0.29,기쁨 흥미,매력적
맥빠지,-0.38,-0.48,지루 슬픔,맥빠지
못마땅,-0.75,0.15,분노 혐오,못마땅
민망,-0.14,0.33,기타 놀람,민망
불편,-0.34,0.14,지루 통증,불편
빈정거리,-0.57,0.29,분노 혐오,빈정거리
스릴,0.48,0.65,흥미 공포,스릴
싫,-0.83,0.18,혐오 분노,싫
신선,0.33,0.24,기쁨 흥미,신선
아니꼽,-0.71,0.26,분노 혐오,아니꼽
아으,-0.35,0.7,놀람 공포,아으
야비,-0.78,0.29,분노 혐오,야비
억울,-0.71,-0.01,슬픔 분노,억울
오그,-0.48,0.02,기타 혐오,오그
우습,-0.55,0.19,혐오 기쁨,우습
정떨,-0.79,0.04,혐오 분노,정떨
조바심,-0.5,0.48,공포 기타,조바심
짜릿,0.55,0.59,흥미 기쁨,짜릿
쩔쩔,-0.53,0.3,슬픔 공포,쩔쩔
아하,0.21,0.01,놀람 흥미 기쁨,아하
수치,-0.82,0.24,분노 슬픔 혐오,수치
가관,-0.68,0.2,혐오,가관
