2,와..사람죽여놓고4년...
3,심신미약이든 과실치사가 됐든 사람을 죽이면 최소 20년 형은 살게해야지.. 고작 4년이 뭡니까.... 이러니 사람죽이는걸 우습게 보지요..
4,사람을 때려죽여도 4년살면 끝이구나반성도 안하고 변명만 늘어 놓는 쓰레기한테.뭐 이런 개같은 법이 있나
5,이나라가 어떻게 돌아가는지..사람을 죽였는데 음주 조현병 심신미약 갖다붙여서 4년 살고..죽은사람 영혼은 누가달래주나.죽인건 죽인거고 거짓말한건 사실이자나.답답하다
6,머라고 씨바 지금 장난하나 4년이라고?
7,4년? 근데 왜 낙태 강요한 남친 애비 죽인 거는 30년 이에요 먼저 빡치게 했잖아요. 왜 자기 딸 성추행한 남교사 죽인 엄마는 10년이에요 남교사가 먼저 디질짓 했잖아요. 왜 참작 안 해줘요? 왜 여친 죽여서 암매장한 남자만 참작해줘서 3년 때려요.
8,남자가 여자 때려죽이면 4년 여자가. 가정폭력에 저항하다 남자 죽이면 30년
9,매일같이 여자들 맞아죽는데 높은 형량 나온걸 못봄 멀쩡하던 여자들 성폭행하고 살해하는거랑 얼마전 인천살해사건이랑 뭐가다름? 사람목숨이 귀하고 천한게 있나?사회적이슈가 되면 살해에 직접적가담하지도않은 공범은 무기징역때리고 여자들은 매일죽어나니까 다들 어휴 또죽었네 하고 넘어가는게 일상이 되니까 살인범한테 징역 4년때리는거야?솔직히 사람죽이고 고작 4년이면 사법부가 사람 죽이라고 선동하는 수준아니야?사법부가 죽인거뭐가달라?너가유가족이면 딸이 살해당했는데 범인새끼는 고작 4년살다나와서 새 삶살면 그게 정당해? 사람목숨값이 어떻게 4년이야
10,심신미약은 얼어죽을 무슨 심신미약아야 여자 때려 죽이고 술만먹음 심신 미약입니까? 도데체 그놈에 심신미약은 왜 갖다 붙이는건데 그냥 사람 때려죽인 잔인한 살인마지. 심신이미약한 사람은 왜 자꾸 범죄의 현장에만 나타나는겁니까 도데체 심신미약을 누가 규정하는겁니까 그냥 잔혹함 살인마잖나 살인마잖아!!! 살인자 새끼잖아!!!!
11,"심신미약? 판사 저거 또라이아니냐? 와 미친 나라. 매일 여자가 미친 남자새끼한테 죽는데, 겨우 4년. 뭐 이런 쓰레기같은 나라가 다 있어!"
12,"사람이 죽었어요.누구의 귀한 딸이고 언니이고 누나.예쁜 동생인 한 생명이 죽었는데 고작 4년? 심신미약이라서 4년인데, 형 끝나고 또 재범안한다는 보장있나요?"
13,데이트 폭력으로 죽어나가는 여자가 한둘이 아닌데 형량은 거의 5년 이하네
14,심신이 미약한 사람이 어떻게 사람을 죽일정도로 때립니까? 정말 이 나라 법이 국민상식과 자꾸 멀어지니까 공권력도 우습게 보는거 아닙니까? 법이 그렇다고 하면 법을 바꾸면 되지 왜 사람이 만든 법이 사람을 잘 다스리지못하면 그게 법입니까?
15,ㅋㅋㅋㅋㅋ ㅅㅂ ㅋㅋㅋ 남자도 한번 죽여보자 술쳐먹고 배때지 때리면 법바뀌지않을까? ㅋㅋㅋ 왜 이번에 홍대크로키 터지고 많은게 바뀐것처럼 남자도 한번 둑여버리고 법을 강화하자~ 여자 죽는건 하루이틀 똑같으니깐 판사 개똘추들도 별생각 없나봐
16,"남자가 여자 때려죽이면 =우발적, 반성하고 있으므로, 미래가 창창하므로 감형/ 여자가 남자 찔러죽이면= 고의적, 죄질이 심각, 최대한 극형/ 가정폭력 이십년 당한 아내가 가해자 죽이면 실형이고 아무 여자나 죽인 남자는 집행유예 시켜주는 나라"
17,패죽이고...결백주장...거짓말하다가...걸리니까..심신미약주장...사람죽이기전에 정신과부터다녀둬야겠습니다...이게 현행법입니다
18,신랑이 미운데 나두 술먹구 배를 때려야겠네 4년만 살다나오면 되자나..이참에 팔힘이나 키워볼까..살인을 저지르구두 고작 4년..참나..
19,재판을 한거야 장난을 한거야?
20,이재현 기자님^^!!!!!!!!!!!! 여자가 범인일 땐 꼭 ~여 ~여 죽어도 꼭 쓰더니 왜 남자가 범인일땐 ~남으로 안쓰나요? 남으로 안써도 범인이 남자란 뜻인가요? 남자 가해자가 하도 많으니깐?ㅎㅎㅎ 하긴 어제도 엇그제도 그 전날도 살인사건 보면 다 남자가 범인 이더라구요 ☆이재현☆ 기자님 기사 제목 20대남으로 바꿔주세요 알겠죠? !!!!!!!이재현!!!!! 기자님 부탁드려요 꼭!!
21,저 피의자가 과연 판사 딸래미 배를때려 죽게했더라도 저런형량이 나올까?
22,치료 전력 가지고 판사랑 술 먹다가 때려 죽였어도 4년일까?
23,청원올리자 데이트폭력법강화한다는 뉴스가 메인인데 이게 무슨 일이냐
24,평생 맞고 산 부인이 남편살해하면 20년이던데~ 이게 뭡니까
25,"사람 때려죽이면 4년 감옥, 나는조현병이다하고 치료 몇번 받고 때려 죽여도 4년밖에 안사니 유사범죄가 나올까봐 겁난다. 어떤 판사님인지 얼굴한번 봤으면 좋겄네."
26,판검사 90% 이상이 중학교때 부터 사회와 단절되 공부만 하는 섹들임. 이런 섹들이 판검사 되니 법이 개판인거야!
27,"한국은 가해자 인권에 치중한 나머지, 피해자 보호에는 손을 놔버린듯."
28,미친 새끼한테 4년 이라니 판사가 제정신이아니구나 사람이죽엇는데고작4년이라니 헐~~
29,심신미약 상태에서 판결했구나?
30,판결 꼬라지들 보면 이나라 판사들이 심신미약에 정신병자들 같음...
31,이게 제대로된 판결이냐?내가 부모면4년뒤 출소하면 직접 죽여 버린다
32,심신미약이면 만사오케이구나.... 거기다가 술한잔 걸치면 사람죽여도 봐주네??대단한 나라 대한민국!!
33,사람이 죽었는데...40년??400년이 아니고 4년??오래전부터 조현병 등으로 치룔를 받았왔다면서 병은 하나도 안 나아짐??여자친구도 사귀고 술도 마시는데???
34,남자면 사람죽이고 4년 여자면 누드노출남사진올리고 7일만에검거당해서 포토까지 찍히고 생매장 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
