1,공효진 명언 
2,지나가던 네티즌이 명언날림 
3,"너가 데뷔하기위해 견뎌냈던 시간들
무대에 서기위해 연습했던 과정들
내가 오프에 오기위해 필요한 노력들

어느하나 쉽게 이뤄질수 없는것들이기에
나는 오늘 우리의 만남을 
기적이라 부르고싶다"
4,"호시 명언 

하기 싫은걸 해야 하고싶은걸 하죠
- 세븐틴 호시 -

연습할 때 몸에 150% 이상 익혀놔야 틀려도 100% 잖아요 
- 세븐틴 호시 -

외쳐 갓호시 !!!!!!!!!!!! "
5,"오늘의 명언
     지민이는 지민인가봐요
           - 지금보다 열심히 하실 
#BTS #MAMAVOTE @BTS_twt pic.twitter.com/o6akeDFLqt"
6,"명언 들음
""게이냐? 라는 말에 빡쳐서 팼으면 그게 게이인권의 수호자겠냐 호모포비아겠냐 빡대가리놈들"""
7,"원래 고양이가 왕이야
다 내 부하야

보고 또 봐도 귀여워 죽는 지민이 명언
#지민 #JIMIN @BTS_twt"
8,"하늘이 알고 땅이 알고 옆집 아저씨와 느갈배까지 다 아는 단 하나의 사실, 딥휘가 망했다는 것."
9,명언 두개 합쳐서 갓띵언 만들기 
10,박지훈 명언 : 아플 땐 아프더라도 먹을 건 먹고 살자 
11,"대체 왜 아파서 나가는데 사과문 쓰는 문화가 자리잡아 버린거지??? 진짜 적당히 예민했으면... 트친님의 명언, 급똥도 언제 올지 모르는데 아픈게 언제 올지 어케아나요.. 다들 부담없는 관극길 가셨으면 좋겠고 아프셨던 분도 괜찮으시다니 다행입니다ㅠ"
12,"나중에 보려고 쓰는 번더스 명언타래
번더스 안보신 분들은 스포될 수 도있으니 주의

#MAMAVOTE #bts @BTS_twt"
13,"The Bigger, the Better. In EVERYTHING.
섹스머신 프레디의 명언 가슴 한켠에 새기고 살아갑니다 pic.twitter.com/Xl4hHKz0qN"
14,11월 12일 에스쿱스 명언 
15,오늘 아침 요플레를 먹다 귀여운 친구를 발견했습니다. 오늘 하루를 더 행복하게 지내고 싶으면 #RT 를 해주세요 pic.twitter.com/iD1wDx54MH
16,이거 뭔 명언 같네ㅋㅋㅋㅋㅋㅋㅋ pic.twitter.com/s7FDa1VZ09
17,"아는 사람이 없는 행사장에서
아는 팬의 얼굴을 보았을때
그때 니가 느낄 반가움과 안도감을
조금은 알것같다

그래서 나는 매일 기도한다

팬의 관심과 응원과 사랑이
당연하게 느껴질만큼
니가 많은 사랑을 받기를

네가 사랑받아 마땅한 사람이란걸
알게되기를"
18,"#Rt+#Follow 이벤트

안녕하세요! 쿱스의 새벽입니다!
계정 홍보도 할겸 이벤트를 엽니다!
알티추첨 어쩌나 앨범입니다!
포카와 렌티큘러, 버전은 랜덤입니다

쿱스의 시간을 많이 제보해주세요!
움짤과 사진, 명언!
 제보는 ㅤㅇㅗㅍ카 및 디엠으로 주세요
https://open.kakao.com/o/sn3XCc5  pic.twitter.com/aaRb62Gr1m"
19,이쯤에서 재조명하는 페어웰 명언 
20,어린이 캐럿이 남긴 명언이다 나도 승관이가 웃음 주었어 
21,"진짜명언이야명언이지훈최고야
#지훈아_우리도_어디가지_않을게
오늘맛있는밥많이먹엉미역국케이크 pic.twitter.com/SQiL8ArQEi"
22,"널 보면 아무말도 못하는
바보같은 나지만

널 보기만해도 웃게되는것이
내 사랑의 가장 큰 표현법이 아닐까"
23,이쯤에서 여러분은 미노의 명언을 기억해야 합니다 pic.twitter.com/HOiabTqgOl
24,"명언이다 진짜.... ""지민이는 지민이네요"" 어떡케 이런말을....ㅠ 스발,,,, 자존감 만땅이구 자신을 넘 사랑할 때 나올 수 잇는 말임.,,,,,, 하아.... 지민은 지민이다... 지민이 지민했다... pic.twitter.com/lHBKetHJXn"
25,""" 운 "" 이라는 것은
"" 기회 "" 가 
"" 준비 "" 와
만난 
"" 순간 "" 이다.
「공감명언」 "
26,명언이 있다지 말 어렵게하는놈들은 상종하지말라는 (?
27,어떤 애니톡방 분이 해주신 명언... 
28,"데뷔 이후 뉴이스트의 순간들을 책으로 만들어볼까 합니다. 잡지, 영상, 앨범 등의 인터뷰나 멤버들의 대화들을 묶어서 명언집 처럼 만들어보는 프로젝트입니다. 
방대한 자료를 찾아보고 꾸밀 예정이라 천천히 제작 될 예정이지만 꼭 완성해보고 싶습니다^^ 러브님들의 제보도 기다립니다!m(_ _)m pic.twitter.com/hnmUF6YnRe"
29,방탄 명언북 1.3 
30,명언 빵빵 터져주시는 
31,"성차별주의를 지양하지만 괘미안하면 흉자라고 욕하면서 흉내자지가 성희롱도, 욕도 아니라는 우리 대단한 괘미님의 명언

지랄쌈싸느시라 고생많으셨고 쌉소리 10점 만점에 8점 드리겠습니다 pic.twitter.com/jbeIAQmZs6"
32,"★한줄 명언★

인생은 한 권의 책과 같다
어리석은 사람은
아무렇게나 책장을 넘기지만
현명한 사람은 한장 한장
천천히 읽는다
.
http://bit.ly/2PAIhSr 
.
#좋은글 #명언 #어록 #한줄명언
#힘이되는글 #명언모음 #인생명언
#좋은글귀 #좋은글모음 #짧은명언
#동기부여 #자기계발 #감성글"
33,"기말고사 D-7
#공부 #자극 #글귀 #명언 "
34,"제가 명언하나 남길께요(아무도 관심없

흑발꾹은 사랑이고

갈발꾹은 애정이다

금발꾹은 소원이고

체리꾹은 혁명이다.

-이상 전정국금발 어그로에 충격먹은 1인"
35,오늘자명언 pic.twitter.com/edJB56LnBX
36,( 명언 보는 흐뭇눈 ) 
37,"#지훈아_우리도_어디가지_않을게 
#VOBOWOOZIDAY 
2018.11.03. 우지 명언 "
38,"#VOBOWOOZIDAY 
#지훈아_우리도_어디가지_않을게 
저는 어디 가지 않을 게요 여러분도 어디 가지 마세요 ,, 우리 지훈이 명언 왜 트위터만 몰라주냐 ㅠ 우리 마음 좀 지훈이한테 전해주세요 트위터 열일해라 pic.twitter.com/wCwPQ8VB1X"
39,"2018 최고의 명언 
 : 하아.. pic.twitter.com/0vOnI5KG9u"
40,방금 유ㅤㅌㅠㅂ 지나다니다 띵언을 봤는데 '자살의 반댓말은 살자' 이런 좆같은 말보단 Stressed(스트레스)의 반댓말은 Desserts(디저트)라고 하면서 입에 맛난거 물려주라는 명언을 봄.... 그게 더 힘이될거 같다고....
41," : 시작이 반이라는 말이 있자나요,,
 : 시작이 반이고 가만히 있으면 반이라도 가니까 시작해서 가만히 있으면 끝이 나는 건데 원래..
 : 저기,,생각을 하고 좀 말을,,

주기적으로 봐줘야되는 #민규 명언ㅋㅋㅋ그리고 멤버들 반응ㅋㅋㅋㅋㅋ 진짜 13명다 너무웃기고 귀엽고 말랑말랑하다,, pic.twitter.com/8jMzfFSMzG"
42,"저에게도 목표가 생겨갑니다 로그를 txt으로 
다 쓰고 언젠가는 제가 정리한 수상소감 및 로그 명언들 정리해서 소장용으로 꼭 !  
@BTS_twt pic.twitter.com/dXZhfJeCaj"
43,"영화를 보고 순간의 선택들이 가져오는 커다란 변화를 느낄 수 있었다. 그 선택이 인생에 엄청난 영향을 미칠 수 있지만 어떤 선택을 하든, 어떤 모습이든 후회 없이 살고 싶다. 

인생은 끊임없이 용기를 내면서 개척하는 것이다. 

#정세운 #월터의상상은현실이된다
http://naver.me/GCO5akB7  pic.twitter.com/zPQTpa5siX"
44,"열심히 산다는 건 바쁘게 산다는 것과 다른 말인 것 같아요. 조금 느리더라도 멈추지는 맙시다, 우리. 

#정세운 #세운_to_me_now_9 pic.twitter.com/II2qli7WAY"
45,"아!!!! 졸라 멋져

명언 ㄱㄱ ㅑ~~~~~~

이정렬 변호사님 (MBC출연하셔서)
이재명 지사나 김혜경 여사를 망치고 있는건 수사기관이나 고발인들이 제시하는 칼이 아니라 본인들의 말이다""

이거 열라 써먹어야지 ㅋㅋ"
46,부부는 다시 태어나서도 부부래 (이룽 명언 중) pic.twitter.com/ajZKW3Kl6B
47,"슬기 팬이라면 절대 잊어서는 안 되는 명언 네 가지 :

1. 나만의 바퀴벌ㅤㄹㅔㅎ
2. 코카음메
3. 아임 이글
4. 아디다스 퓨맣"
48,비투비의 시즌그리팅 사진에는 두가지의 명언이 숨겨져 있다. 
49,"#제5인격_봇친소
#제5인격_트친소
#제5인격_요셉봇

「좋은 사진은 카메라의 심도 조절에 의해 좌우되는 것이 아니라 
마음의 심도에 의해 좌우된다.」
- William Albert Allard -

유명한 명언이죠. 결론은, 당신의 사진은 기술이 아닌 당신 자체에 문제가 있다는 소리입니다. pic.twitter.com/RptXjjlLXI"
50,"“좋은 사람이 한 두명이 있어도, 그곳이 불편하고 그런 폭력이 문화면 그 곳은 나와도 된다.”라는 명언을 남기셨다는 얘길 해 줌. 그래서 오늘도 역시 퇴사가 답이라는 결론을 내린 나..."
51,"하이라이트 명언 캘리인화사진
하이라이트 콘서트 양일
6종중 랜덤 1종으로 나눔예정입니다.

양일 진행예정
양일 각 80장씩 총 160장 나눔합니다

시간 장소 미정..
장소는 아마 수소단 화환 근처가 되지 않을까싶습니다. "
52,"[길영독자?]시간 축 엉켜서...10년 뒤 길영이와 재회하는 김도게자,, .. .. 이건...된다!
10년 뒤 유승이도 오는데 길영이가 못 올 건 없다(혼돈님의 명언) "
53,헐헐ㅜㅠㅜㅜ학교계단에 명언붙여줬는데 켄타도 있어ㅠㅜㅜㅠㅜㅜㅠ pic.twitter.com/7BRnGDrMwb
54,[#원덕후의짤방] 힘들 때 위로가 되는 아이돌들의 어록 한마디 한마디가 띵언이야.. 다들 명언집 내주세요... #RM #강승윤 #장동우
55,"[HQ] 181111 용산 팬사인회

내일이 월요일인 것이 고민 아닌 고민이었지만 주말에 못 만났던 동료들을 만나면 기쁠 것이라는 명언 가슴에 새기고 월요일 맞이하겟읍니다..

#켄타 #KENTA #ケンタ pic.twitter.com/knur5S5eHA"
56,"아 윤산ㅤㅎㅏㅋㅅㅋㄱㅋㄱㅋㄱㅋ ㄹㅇ 라이브인거 다 인증했어 ㅤㅎㅏㅋㅋㄱㄱㅋㅋㄱㅋㄷㅋㄷㅋㄷㅋㄷㅋㄷㅋㄷㅋㄷㅋㄷㅋㄷㅋㄷㅋㄷㅋㅋㄷㅋㅋㄷ

오늘의 명언 : 윤산하는 노래를 겁나 잘부른다 라이브 인증 pic.twitter.com/aQvukWXesA"
57,"또 다시 나온 명언제조기 조유리 ㅋㅌㅋㅋ
사공이 많으면 배가 산으로 가지
.. 다시 한 번 깨닫고 갑니다 유리덕분에 pic.twitter.com/rQ79Umyj6g"
58,이 사진을 나 너무 펄럭거리잖아요. 라는 명언을 남겨주신 한 선생님께 바칩니다!!! @HanJin_Woo
59,창섭오빠 오늘의 명언 : 사람은 고등학교때 많이 놀아놔야돼~! pic.twitter.com/byXOc5MGGy
60,"Q. 오늘 카메라를 가지고 오셨던데
A. 다같이 함께 뮤비를 만들어나가는 현장과 분위기를 담아가지고 나중에 추억할 수 있게 사진을 찍으려고 가져왔습니다.

#옹성우 #MV촬영현장비하인드 181118 pic.twitter.com/8lJLQiUVx0"
61,"콥이 덕분에 태국도 두번 와ㅤㅂㅏㅆ네~진짜 맛있는것도 많이 먹고 완전 먹방찍었어! 콥이의 명언 ""음식에는 순위도 없고 칼로리도 없어요!!!"" 여행의 즐거움도 만끽하고 스케줄도 같이 하고 완전 꿀같은 이번여행!이번 컴백도 계속 힘내고 I'll be always full of all my energy to follow you!  pic.twitter.com/uwL1APbsFW"
62,"절대 잊지 못할 명언,, 보라해
#맞괄 #아미트친소 #팔로우 #army #bts pic.twitter.com/tIlU2B8hLM"
63," 오케이! 명언이었다 이거 그치
 명언 같은 소리하고 있네
#리노 #이민호 pic.twitter.com/wk3ux8OqYO"
64,진짜 최고의 명언...(박수!!!) pic.twitter.com/YzfCLv26JW
65,"181116 뮤직뱅크 미니팬미팅
#김동한 #동한 @KDH_official

고기선생 김동한
오늘도 명언을 남기셨다

“몇인분,,, 원래 저는 그런건 세지 않아요.
그릇이 비었다! 그럼 채울뿐..” pic.twitter.com/4CFnHHbpw2"
66,오늘의 명언: 잊어라 pic.twitter.com/pv36AS3z5z
67,강먹짱씨의 음식명언 오늘도 업데이트 됐습니다 난 그걸 나누는것도 좀 그래 어차피 맛있는건 부어먹나 찍어먹나 맛있어 pic.twitter.com/GYrnkAKsQM
68,"눈을 뜨자마자 야구를 생각했고, 밥 먹을 때도 야구를 생각했고, 잘 때도, 꿈속에서도 야구만을 생각하고 살아왔습니다. 야구를 생각하지 않은 유일한 시간이 있다면 마운드에, 그리고 덕아웃에 서 있을 때일 것입니다 - 선동렬.

금세기 최고의 야구명언 중 하나라 생각한다."
69,"""여행이 주는 재미의 반은 길을 잃었을 때의 미학이다.""
""우리가 여행하는 이유는 낭만을 위해서, 건축물을 보기 위해서, 그리고 길을 잃기 위해서다."" - 레이 브래드버리

에세이 번역하다 마주친 레이 브래드버리 선생의 여행 관련 '명언', 브래드버리 선생님 길치셨구나 반가워요"
70,"181111 노량진 팬싸 유타 후기

: 제가 오빠 일본어 하는거 되게 좋아하거든요
ㅤㅇㅠㅌ: 정말요?
: 네! 혹시 괜찮으시면 오빠가 좋아하는 명언이나 좋아하는 애니메이션 명대사 하나만 제게 해주실 수 있으세요? pic.twitter.com/50uqO1OBMQ"
71,[#원덕후의짤방] 힘들 때 위로가 되는 아이돌들의 어록 한마디 한마디가 띵언이야.. 다들 명언집 내주세요... #진영 #정세운 #지코
72,자신의 명언에 빵터진 #김남길
73,어제 ㅤㅁㅏㅋ도나나 유투브 편집본 보다가 ㅋㅋㅋㅋㅋㅋ 댓글 보고 고개 끄덕였네 인생은 밀당이야..... 명언.... ㅤㅁㅏㅋ도러까지 축제로 만든 김씨... pic.twitter.com/TpnXd8rHh9
74,떠오르는 명언 제조기 오오노 사토시. 
75,‘나의 아저씨’ 리뷰인데 너무 말마다 명언이라 올려두고 계속 보려고 올림 
76,"오늘자 미라큘러스 인상깊었던 장면들

- 변신! 퀸비!
- 명불허전 명언제조기 레이디버그
- 로맨티스트 아그레스트 : 내 사랑... pic.twitter.com/2Z4fsf1mbi"
77,"사야할것&산것&해야할것
1.비투비글리터지갑-사씀
2.비투비홀로그램카드지갑-사씀
3.큐브시그-살거
4.이번앨범-사씀
5.비투비담요-사씀
6.비투비명언집-사씀
7.나팔봉키링-사씀
8.비투비전차스-사씀
9.비투비보틀-살거
10.나팔봉함-살거
11.뿌리탈색-할것
12.덕질-계속할것
13.트윗마음누르기-계속할것 pic.twitter.com/fvcKfYLzmJ"
78,"의를 보고 행하지 않음은 용기가 없음이다.       

- 공자 -    #명언"
79,"[공구] 문스독

애니메이트 한정판매 세트 /12월 4일 발매
통상판16권, 아크릴 플레이트, 명언 책갈피
한정판16권, 아크릴 플레이트, 명언 책갈피, 원작 일러 아크릴 스탠드

1차: 통상판 2.5 /한정판 3.5
2차: 해배비+국배비 /물품 발매 후 개별안내

선점 문의는 멘션/디엠 주세요! pic.twitter.com/fSfdPGzjyv"
80,"#무무_트친소 
>비답이가 콘서트연기해서 기분이가 좋아서 엽니다~!
>올최애에요~!(최애가 매일 바뀜)
>흔적 남겨주시면 6유멘맞팔9로 찾아갈게요~!
>말랑말랑한 사람이라 막 치근덕대도 좋아함니다~
>갤박은 명언제조기 김용선 pic.twitter.com/iLosnn3BoU"
81,"진자 명언아니냐고
돌아와오빠 "
82,"[ 이승훈 명언 ]

쓸모없는 경험은 없다

#캘리 #위너캘리 #이승훈 #HOONY #사진은메타몽인스타"
83,"RT추첨 청춘랜드 티켓증정!
청춘과 함께하는 청춘 명언 이벤트!
청춘과 관련된 명언을 댓글로 달아주세요!
#서디페POPUP #청춘랜드 해시태그와 
명언 댓글시 청춘랜드 티켓을 드립니다!
청춘랜드 정보보기  http://goo.gl/E63848  pic.twitter.com/ueKmIfNnEQ"
84,"다시보는 #슈가 의 수능 후기 [15.11.11]

난 스무 살 되면 진짜 뿅 하고
인생이 스펙타클해지는 줄 알았다

근데 안 그러더라

수능도 그렇게 스무 살도 그렇고
다 특별할 줄 알았는데 별거 없었다
진짜 그러니까 떨지 말라고 별거 아니니까-민윤기 #BTS

수고많았어요_좋은_결과가_그대를 _기다리길 pic.twitter.com/r7AbaEO98A"
85,"산하 ""다시 한번 날 안아줘"" 이 파트 너무 좋아ㅠㅠㅠ 특히 안무 하면서 안아줘 하는데 웃으면서 안아줘 하는데 아 미치겠어ㅠ

오늘의 명언 : 산하는 안아줘 파트에서 웃는게 설렌다 pic.twitter.com/kMj1d8ieH6"
86,"원피스 굿즈 대리판매 글 이에요 디엠주세용

원피스 굿즈 처분합니다. 
1.사보 액션 피규어 - 2만원 (하자 감안한 가격이에요88)
2.도플라밍고,코라손 명언 뱃지 - 1만 4천원
3.미호크 뱃지 - 5천원(센고쿠 거프 함께 드려요) pic.twitter.com/QXVrJ7ZhBU"
87,"그냥 우리 오래오래 지치지말고 함께해요 우린 십년이고 이십년이고 안지칠테니

- 150615 @BTS_twt 中
#BTS #방탄 #방탄소년단 pic.twitter.com/S6SpgFAZMg"
88, 김한빈 명언 모음  
89,아 글씨 더러워서 안올리구 싶었지만 어제 ㅤㅂㅢㅤ앱 딴옵의 명언이라서 올려봄니다쿄쿄 pic.twitter.com/JtlssBwtCo
90,"와 명언 탄생....세상에.....

""남들한테는 중요한 순간인데 제가 어떻게 잘 수 있겠어요""

아니 무슨....그런 얼굴로...그런말을.... ....진짜.....반칙이야...ㅠㅠㅠ pic.twitter.com/vjUPARAIgz"
91,"아니 산하 ㅂㅌㅂ 선배님 ㅇㅎ님 따라한다ㅤㄱㅗㅋㅅㅋㄱㅋㄱ 귀엽다ㅤㄱㅗㅋㄱㅋㄱㅋㄱㅋㄱㅋㄷㅋㄱㅋㄷ

오늘의 명언 : 뭘해도 귀여웠다 pic.twitter.com/i1WcSo6Pes"
92,뇽화씨의 주옥같은 명언 항상 가슴에 새기고 삽니다!! pic.twitter.com/yqI2zUhtth
93,"맞는말 대잔치
갓명언 대잔치
두둠칫 두둠치 "
94,"181116 아이즈원 팬싸인회 원영
라디오 덕질명언 그거 준비해서 이야기한거에ㅤㅇㅛㅋㅋㅋ? 하니까 즉석에서 한거라고! 그게 그렇게 웃겼어요ㅜ? 하는데 졸귀ㅜㅜ 언니 오늘은 저녁 드셨녜서 아녀 긴장해서 못먹었어용.. 하니까 이번엔 끝나고 꼭 드시래ㅜㅜ 집에가사 존나 먹어야지ㅜ pic.twitter.com/W3zV5gk3rp"
95,"이 계정이 어느새 100팔로워가 되었어요!
그래서 계정홍보겸 100괄 기념해서 [RT+팔로우] 추첨으로 원하시는 캐릭터 BT21 피규어 키링과 30cm 쿠션을 사 드려요
정확한 당발일은 추후에 알려드릴게요
참여수 없으면 취소해요
#RT #RT추첨 #알티추첨"
96,"니체의 명언이 있어요
그때도 수없이 외쳤던 말이고,

나를 죽이지 못하는 고통은

나를 더 강하게 만들 뿐이다..

하성운도 워너원도 구름단도 더 강해지고 단단해졌으니.. 이제 행복만 하자 얘들아!"
97,"[Burn The Stage: the movie 후기]

유튜브에 올라왔던 번더스를 영화관에서 보는 느낌이었고 영화 중간중간에 나오는 내레이션이 하나하나 다 명언이었고 방탄소년단이 우리를 위해 얼마나 매 콘서트마다 노력하는지 알 수 있었으며 방탄소년단이 내가수라서 참 다행이고 자랑스러웠어요 BTS보라해 pic.twitter.com/pM3rXb1WyD"
98,개명언 “다 먹고 살려고 하는 일이에요” 
99,아ㅜ이거 친구가 남긴 명언 ㅠㅋㅋㅋㅋㅋㅋㅋㅋ 앨범 정리하다가 나왔내.. pic.twitter.com/RdaUwsCIh2
100,오늘 야고코로 선생님에게 내 뇌세포를 건들이는 명언을 해주신.. pic.twitter.com/68RXoTzuLh
101,참고로 내가 엄청 좋아하는 야구선수의 명언은 이러하다 이분께서는 현재 매 이닝 출루율 100프로라는 대기록을 수립중이시다 언제나 1루에 계신다. pic.twitter.com/dJA2NZqYXD
102,"11월 예스24 굿즈 > https://bit.ly/2OGKkPz 
곰돌이 푸와 친구들이 드리는 따뜻한 선물!
푸 명언캘린더, 니트모자, 스마트터치 장갑, 마스크, 보온 물주머니!

 11월 예스24 굿즈 RT 이벤트 
트윗을 알티하신 후, 갖고 싶은 굿즈를 댓글로 남겨주세요
각 2명씩 예스24 굿즈를 증정합니다. pic.twitter.com/7D8GZFbsT2"
103,"윤오컷에는 재현이의 각종 인터뷰 및 명언(?), 엔나나에서의 멘트 등이 함께 수록될 예정입니다.

디엠 또는 메일(pianissimo.jh@gmail.com)로 윤오컷에 실렸으면 하는 재현이의 말들을 제보받습니다! (~이번주 토요일 11/17 까지)

추천해주시는 분들 중 2분을 추첨하여 윤오컷 보내드릴게요 "
104,"제 작업실이 한 평 조금 넘는 좁은 방인데,
3일동안 화장실 외에는 나가본 적이 없어요
그런데도 좋았어요

음악적으로는 당근보다 채찍을 선택해요
아무리 무기력해도 제가 해야 할 책임은
끝까지 다 한다는게 신념이에요
-#슈가 민윤기[THE STAR 인터뷰 (I NEED U)] #BTS pic.twitter.com/pNN3ctE9nQ"
105,"사실상 우리가 가는 길이 어둡더라도
우리가 가는 길에 가는 뒷모습이 항상 빛나고 있을거에요

여러분들이 함께 하고 있으니까요
정말 제 인생에서 함께 해주셔서 감사해요,행복하고
- 정호석 [160507] #BTS 

#제이홉 pic.twitter.com/9fqRNQBjsn"
106,"혹시 좋아하는 소년단의 명언이 있다면 한 마디 정도의 길이로 멘션 달아주세요! (여러 개 하셔도 됩니다!)
이렇게 헤더사이즈로 만들어보겠습니다 pic.twitter.com/axjhnpAH34"
107,"아스트로 ㅤㅇㅙㄹ케 착하냐거ㅜㅜㅜㅜㅜ 진짜 배려심 가득한아스트로 ㅠㅠ 존.경.그.자.체

오늘의 명언 : 아스트로 존.경.그.자.체 pic.twitter.com/YVLW8NkYti"
108,뎨옵 오늘도 명언남기고 가셔써.... pic.twitter.com/AqaaJRBuZJ
109,신이 남자라고 주장하는 종교를 여자들이 왜 믿는지 이해할 수가 없다. -작가 미상
110,박정희대통령의 말씀이 곧 명언 이다. 
111,"글씨는 적어지는대로 적는거죠 

옌 명언 또 나왓다~ "
112,이외수 선생의 명언이 출동할 타이밍이다... 
113,"새벽엔 가족게임이지
명언 제조기 요시모토 코우야(??세/참교육 능력자) "
