1,"아 최고의 미용실
내 폰케 보고
마이클잭슨 좋아하세요??
이래서 아하 ;; 넵ㅜ(민망
이랬는데 또 누구 좋아하냐길래
퀸... 퀸 좋아해요..(민망
이러고 머리감고 오니까
플레이리스트에 마잭이랑 퀸밖에 없어
지금 미용실에 갈릴레오 울려퍼진다
최고의 미용실"
2,"예전에 피방에서 겜패치하던 친구가 앙스타 켜는데 소리 켜져 있어서 앙상브르스따ㅡ즈! 소리 개크게 났는데 우리가 민망하지 말라고
나 : 메이쁘르스또ㅡ리!
친구 : 파..파이너르판따ㅡ지!
친구2 : 오바ㅡ와치ㅡ
해줌ㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
3,여기 너무 웃겼어 ㅠㅠㅋㅋㅋㅋㅋㅋ 곰돌이 민망해져서 ㅋㅋㅋㅋㅋ기요미라고!!!알았어?? 
4,"#드친소 

계펑한지 얼마 안돼서 돌아왓읍니다(민망
조용히 지내려고 햇는데 드림 너무 보고싶어요
http://twpf.jp/Charmant_reve 
성향이 조금 바뀌어서 찾아가지 않는 드림이 있습니다.
편하신대로 흔적 남겨주시면 천천히 찾아뵐게요

쪼님 pic.twitter.com/pjoQcWoi83"
5,민망함을 못이겨 사정없이 흔들리는 몸이랑 고개가 너무귀엽다ㅠㅠㅠㅠㅠㅠㅠㅠ진짜 큐트가 짱이야 pic.twitter.com/yisHl3wSGl
6,말 더듬어서 민망한 민주 다독여주는 이채연의 스윗함 ＼(//∇//)＼ 
7,"민망해하시던분 어디갔냐고요,, "
8,"비유 완전 말 잘하게 ㅤㄷㅙㅅ는데 김독자 만나고 갑자기 말 잘하는 거 보여주는 거 민망해서 자기도 모르게 바,,,,바앗,,,,!! 하고 어쩌다보니 김독자 앞에서만 여전히 바아아 아기도깨비 흉내(본의는 아니엇음) 내는 것.........(ㅤㅅㅢㅇ숑 나 이거 조아 이거 줘....."
9,"은광데이 기념으로 소소한 이벤트 합니다
진짜 소소해서 민망하지만

총 10분께 드려요 이미지 확인하시고
RT해주시면 참여 끝!

은광데이 은광시에 당발합니다

다들 행복한 광데이 됩시다
  
#은광 #happy_kwangs_day pic.twitter.com/2lLRifaQHN"
10,"https://mucoidmuco.postype.com/post/2778764 
원본은 쬐끔 민망해서 비밀글로 올렸습니다... (성인X)
비번은 잼젠 생일 더한 네 자리예요 하핫 나군의 망상 pic.twitter.com/kOHdq6o6e6"
11,"진행 : 해찬 씨가 이번 리팩 스포 좀 해 주세요
동혁 : (바람 잡은 뒤) 이번 리팩을 엔시티 127이 보여 줍니다 (민망하니까 마크 형한테 자기 머릴 부빔)
마크 : (동혁일 밀면서) 딱 이미 알았어요, 시작했을 때부터 "
12,공대용으로 쓰려고 가져온 일대일매크로 실수로 랜매에서 써버렸고 민망해죽겠다는 소식 
13,"ㅋㅋㅋ옛날(?)그림 넘 민망해서 안하려다가 그냥 재업해용,,
~아이콘티비 후기 1~4화~ pic.twitter.com/QAyefuFDMD"
14,"김종인 귀요미 하구 민망해서 상어 거의 쥐어잡는다 잡아 ㅜ ㅜ
                 .o0 (상어살려) pic.twitter.com/lrJLeubVLb"
15,"민망해서 이마 짚는거 개웃겨ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
시키니까 또 하긴 하는데 크로스파이팅 아니고 걍 팔 걸고 있음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ기야웡 pic.twitter.com/nqt3I0oeYY"
16,"#아미트친소 
아무도 안 오면 민망하겠죠 ?
05 유림이고 친해지면 대유잼 ~ 
남준 정수리 러버(´°????ω°????｀) "
