1,심심고영 
2,"‘3’ .... 심심 
https://open.kakao.com/o/g9R9mE4 "
3,"【 자기소개서 】

 1n살 여자에요 . M기질이 다분한 섭입니다 
 키 160 초반에 몸무게 50대후반~60초 왔다갔다해요 !
 아직 입문한지 얼마 안되서 아는것도 별로 없어서 알려주실분이 있었으면 좋겠어요 .
 천천히 다가와주세요 . 존댓말로 ! 겁많은 강아지랍니다 ㅎㅎ

잘부탁드려요 ! "
4,"#마음당_TMI

심심쓰 "
5,심심치않게 포박당하는 편 
6,도착할려면 40분 남앗ㄱ는데 매우 심심... pic.twitter.com/cVfPmN45mu
7,진짜 무인도 데꼬 갓으면 심심치 않앗을듯 pic.twitter.com/KJvQO2VazB
8,"#마음한_트친_닉네임_손글씨로_써주기 
심심매앵 "
9,"#마음당_나에_대한_tmi 
그냥 함 심심헤 "
10,"#이_중에_제_이미지는_몇_번인가요

심심해성... 해주면, 나도 해줄겡 "
11,심심풀이로 만든...! 전지적 독자 시점 썰갈피/책갈피/글갈피 용으로 사용 가능한 파일 배포합니다. 해당 용도 한에서 자유롭게 사용하시면 됩니다. ^.^ pic.twitter.com/GDswzYM8gJ
12,심심므애 
13,심심한현우 
14,귀여웡
15,"#퀴친소 
 05년생 바이 여자
  애인 X 플러팅 
 경기도 거주
 심심 할 때 찾아와주세요 ~
 술 담배 X

흔적 무멘팔 합니다 ~!!~~! pic.twitter.com/rjmYSY0GiJ"
16,옆쪽도 보고 인사해주고 박다정 박친절 박배려 고마워요 #박형식 #ParkHyungSik
17,라호쟝의 심심풀이 
18,심심쓰 
19,심심햇 
20,#마음당_공개 안할랬는대....심심.... 
21,심심ㅁ해서 효과라도 넣어보는 로또밈 pic.twitter.com/kHB316AlwP
22,"#그림쟁이_트친소

중딩그림러에요ㅎㅎ♡
귀여운거좋아합니다. 예를들면...님.들?
ㅋ
.........

저... 완전 편한사람이니까 트친해주세요계정새로파서넘심심 pic.twitter.com/0XmBqMjvoY"
23,데이터 이쁘죠 넹... 심심풀이로 만들었음.... 
24,눈알 뭔가 심심.. 
25,"#마음당_공개

이것도.. 심심행.. "
26,엄마가 심심풀이로 사 온 고기친구(상추)를 요즘 키우고 있는데 싹이 났다 
27,바이바이 고생 많았어요 푹 쉬어요 #박형식 #ParkHyungSik
28,#마음당_공개 심심 
29,"나 넘 심심해
떡밥둘 별로
갤에서 뭘 없고
다규 도 차분하당
존심심 "
30,"오늘의 심심풀이.
시간남아서 후딱 만들어버렸수다 pic.twitter.com/m29XOjU29h"
31,점검중 심심허니 트친소~ 카벙클섭 남레젠 중심으로 남캐 왓달갓달하는 현 여코테 농사꾼입니다ㅇ^^)ㅇ 흔적 남겨주심 찾아가요  #파판_트친소
32,"#십일월의봄바람 #WannaoneSpringBreeze 
후하후하 심심의 안정 pic.twitter.com/T8pCqNqIap"
