1,눈만 마주쳐도 세상 어색 했던 백현이랑 경수 ㅋㅋㅋㅋㅋㅋㅋㅋ지금은 형제의 우애가 쌓이며 절친이 되었다고 한다.... pic.twitter.com/bidom4OXy4
2,"진짜 이거 너무 웃김
되게 따듯한 장면인데 너무 웃김
우니까 위로는 해줘야겠고 근데 아직 어색(?) 하고 ㅋㅋㅋㅋㅋㅋ 뭐가 그렇게 어정쩡하게 어깨동무하냐고 ㅋㅋㅋㅋㅋㅋ pic.twitter.com/1EGB5UyEzE"
3,"그러다 한 번 둘이 ㅤㅂㅢㅤ앱 켤 때 그냥 일반적인 댓글 읽고 이상한 반응 하다가 방송 종료될 거 같네요

소졍 언니는 다른 아이돌들하고 친한가봐요

어..... 그 저는 멤버들이 가장 친한.....
어 거짓말 한다 여러분 소졍 아니 엑ㅤㅅㅢㅤ 거짓말 해요 콧구멍 커진 거 보셨죠

괜히 어색 pic.twitter.com/jipPadVGXS"
4,아저씨는 아직 K하트가 어색혀 pic.twitter.com/JGRtA6URrt
5,"처음만든거라 매우 어색;;
원본:https://youtu.be/LTFILLDW65I  pic.twitter.com/oPjObrpEOm"
6,어색웃음 귀엽다! 마니 
7,(어색~~~) 깐머리 메이슨...깐슨....심슨같아 
8,"안녕하세요,, 레드벨벳 예리입니다,,(어색) "
9,"새로운 트친분들도 생겼으니까 교류해쉬!

#마음한_사람의_호감도
0-나가주세요
1-경계
2-어색
3-어느정도의 신뢰
4-적당한 스퀸십,장난
5-조금 과한 장난
6-강한 신뢰
7-이유없이 놀고싶거나 생각이난다
8-서로 사이에 멘션,디엠을 기억한다
9-넌 내 가족이나 다름없다
10-사랑해요 무슨 일이 있어도"
10,"신란/ 유명한 카피페 소재로 대사 조금 수정 해봤습니다~ 만화 너무 오랜만이라 어색데스ㅠ~역시 맞관삽질이 제일 재밋음,,, pic.twitter.com/xBYeL5h4pU"
11,흠 트위타 어색쓰하다.. 트친소를 써야하눙공가 ㅇㅅㅇ #펨돔 #에세머
12,어색 어색 
13,1.1k였다가 40괄 되니까 어색쓰;;;;
14,트위터는 첨이라 어색어색돋네
15,"#이병_서은광_생일_축하하지_말입니다 

군대에서 맞이하는 첫 생일이 새롭기도 하고 평소와 다른 모습에 어색도 하고 아쉬운 구석이 있겠지만 세상 모든 사람들이 오빠를 축복하고 있다는 건 달라지지 않으니 내일은 더 행복했으면 좋겠어  태어나줘서 고마워 오빠  pic.twitter.com/BUguo36AIn"
16,"엔라파 이것도 넘 귀여워ㅋㅋ
윈코한테 ㅤㅎㅛㅇ 잘 잤어요? 하는거..
아직 어색열매 먹을때ㅋㅋpic.twitter.com/ptEeIxIdK2"
17,최고 어색맨 스티븐 스트레인지 
18,란국님이 올리신 사진을 보고 급 꽂혀서 합성+몸선 수정을 시작했는데 할수록 망+어색을 깨달았지만 이미 시작한거 끝은 봐야지...로 나온 망합성(마른세수 
19,"#마음한_사람의_호감도 

1.완죤 처음 봄
2.어색(=교류 마니해용) 
3.친히ㅣ지고 시픔
4.그냥 평범하게 친함
5.짱친함
6.힘든일 있으면 털어 놓을수 있을 정도로 친함

사실 4번 6번은 정해져 있눈듯ㅋㅋㅋㄱ  다섯명 정도는 있겠지ㅇ....?"
20,"최유정 제일 좋아하고 날뛸줄알았는데 갑자기 분위기가 어색+민망 해지면서 도연이가 유정이란테 너 떨리지?하면서 도댕의 제2막이 시작됐죠...., pic.twitter.com/ZpouRiEG9Y"
21,"#멘션한_사람의_호감도

1- 어... (어색어색)
2- 멘션 가능!
3- 디엠 가능!
4- 카톡가능!
5- 문자나 전화가능! 
6- 코스 트윈 가능!
7- 악수나 포옹가능!
8- 만나서 놀기 가능!! 
9- 좋아해 (수줍수줍)
10- 사랑해 내옆에 평생있어줘"
22,비계살이를 오래해서 그런지 아직까지는 본계 어색
23,"갑자기 뽐뿌와서 새벽에 첫 집코 시작
어색어색 그래도 기부니가 좋아요
아스이 츠유라고 한다면 믿어줄래요
#첫 #집코 #스타또 #부끄부끄 pic.twitter.com/7fcgU8MUdm"
24,블러처리 넘 어색햐... 
25,맨날 비계가 있다가 없으니가 어색 어색 
26,(어색) 
27,어렸을때부터 옆동네살면서 같이 지내다가 고딩때 딤 유학가서 연락끊기고 성인되서 다시 만난 딤님 주세요...다시 만났을때  어색떨림 가득해야됨.... pic.twitter.com/9JooGh1iZd
28,어색어색 
29,"헤에..?
어색 "
30,되게 어색 
31,머리어색 
32,ㅇ어색ㄱ..... 
33,요즘 남캐 너무 안그려서 어색어색함 
34,손그림도 컴그림도 잘 안그리믄 어색쓰.. 지인 만났을때 낙서한 유중혁인데 첨 그려본거라 그리다보믄 이미지 확 달라질듯.. 
35,예전에 만들다가 프레임 하나 잘못짜서 걍 드랍더짚 ㅠ 어색쓰하게 돼서 휴 폴더 정리하다가 눈물 머금음 
36,백상아 얼굴에 미소 띄우고 있는거 볼 때마다 어색 pic.twitter.com/it0dzXunq6
37,"안녕하세요,, 레드벨벳 예리입니다,,(어색) "
38,어색 
39,경수는 토끼모자가 어색이 합니다 
40,"나도,.머리바ㅤㄲㅝㅅ어,.,욜라 어색,해 "
41,Twitter kinda feels bit weird to meh!lol 아~ 어색 어색!ㅎㅎ
42,나? 아...나구나... 음... 그러니까 7지부 지부장 전 초고교급 펠리세트 아스터 르누아르. 편하게 아스터나... 펠리세트 정도로 불러.... (어색...) 
43,"10팔로워를 '확보'했대
ㅋㄱㄱㄱㅋ뭐지 문맥이 어색헤"
44,"신예찬 김태우 .. 비교분석 너무 재미잇다
옷입은것만 바도 신군 단추 꼭꼭 걸어잠그고 위에 단정함의 갑 가디건까지 걸치셧음 ㅋㅋ 자기 이미지 파악 넘 잘댄듯 원래 그런걸수도 잇지만 또 캐리어색은 무채색이심
그에비해 김군 마이 풀어재끼고 바지에 딱 손 꽂고 프리하신 모습에 시강 주황캐리어 "
45,(어색) 
46,"신 : ...
려인 : ...(어색) 음, 그래ㅡ
신 : 누나 머리 잘랐네?
려인 : 으응, 응!
신 : 시원해보인다. 나도 자를까?
려인 : ...(눈물 왈칵) 미안해...
신 : 미안하면 돈이나 줘.
려인 :
신 : 농담이야."
47,누워서 하는 방송 어색어색 
48,다 어색짭웃음을 짓고있자ㅤㄴㅏㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
49,"친구가 찍어줌
간만이라 북흐+어색했지만 그래도 찍어주니까 좋~~댄다 
(종일 100장넘게찍은건 안비밀ㅋㅋ) pic.twitter.com/3H3iViNOQF"
50,(어색 
51,헤헤...(어색 pic.twitter.com/XlchL0RGDq
52,"#양요섭 #요섭

희주니랑 첫 대면 ( ? ) 
 : (기립 차렷) (90도 인사) (어색어색) (휴대폰 만지작만지작) ^-^ ...

 7개월 후

(희주니 들어옴)
 : ( 앉아서 피식 ) ^-^:

ㅋㅋㅋ ㅋ ㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋ7개월만에 발생한 온도차 ㅋㅋㅋㅋㅋ ㅋㅋㅋ "
53,"움직이는 토끼모자
프레디: 정석대로 갖고 놀기
로저: 아무생각 없이 꾹꾹꾹꾹
브리: 어색..머쓱..부끄..소심하게 한두번 꾹꾹
디키: 턱 밑에 묶어버림"
54,뭔가 어색어색 ㅋㅋㅋ 
55,나는 임수정이 아니라 마지막 하나 남은 호두과자 싹 먹었고 나의 이 어색...함은 뭐 어쩔수 없는 것 같다. pic.twitter.com/ficg9I65g6
56,"태태베베랑 첫나들이로 번더스 ? ? ?
이런 거 태어나서 첨 해보네요 .... )어색 pic.twitter.com/qyuqxpAdPB"
57,(어색) 사이좋게~ 지냅시다. pic.twitter.com/02tRyUI1AH
58,경비 너무 올만에 그려서 어색 
59,@id990922 구별님...꺼^^((겁나 어색 
60,"ㅋㅋ 김독잔거알겟는데 넘징그러워서 선뜻 못다가가는 유중혁..멀찌감치 서서 ""어,,왓나...(어색"""
61,"마비노기는 그냥 .. 길터에서 우두커니 앞만.. (모니터를 향해,,,,, 내가 돈 주고 만들어 낸 그래픽을 감상하기 용이하게...) 보고 얘기한단말임 그래서 사이버시선 ㅤㅈㅝㄴ나 어색햇는데 이제다시 마비노기 들어가니까 사이버시선없어서 어색하드라 pic.twitter.com/nCPqE4oics"
62,부랄친군데 ㅋㅋㅋㅋㅋ 둘이 친해서 스킨쉽도 자주하고 이런 장난도 자주치다가 실수로 입술 박치기해서 존나 분위기 어색스해지는걸로 시작하는 고딩청게 탱군보고싶다 pic.twitter.com/4hqBAmpOxJ
63,쌤들 빨리....건대대관.....가시는 분들 중에 제봄의 어색돋는 손편지? 쪽지? 받고 시프신 분들 요기 마음마음 허리허리 빨리빨리 
